"TIME","U2(VOUTA)","U2(INA)"
0,0,0
1e-008,0,0.05
2e-008,0,0.1
4e-008,0,0.2
8e-008,0,0.4
1.45001e-007,0,0.725005
2.75003e-007,0,1.37502
5.35007e-007,0,2.67503
9e-007,0,4.5
9.01e-007,6.52336e-006,4.505
9.03e-007,6.37804e-006,4.515
9.07e-007,6.36641e-006,4.535
9.15e-007,6.37049e-006,4.575
9.31e-007,6.52182e-006,4.655
9.63e-007,6.52398e-006,4.815
1e-006,6.52337e-006,5
1.0064e-006,6.6736e-006,5
1.0192e-006,6.52684e-006,5
1.0448e-006,6.67423e-006,5
1.096e-006,6.37214e-006,5
1.1984e-006,6.52272e-006,5
1.9e-006,6.52336e-006,5
1.98192e-006,6.37096e-006,5
2.14576e-006,6.52308e-006,5
2.47344e-006,6.52312e-006,5
4.43952e-006,6.52336e-006,5
7.06096e-006,6.37078e-006,5
8.900001e-006,6.52335e-006,5
1.0170001e-005,6.52336e-006,5
1.1450001e-005,6.52336e-006,5
1.4010001e-005,6.37078e-006,5
1.9130001e-005,6.52335e-006,5
2.9370001e-005,6.52336e-006,5
4.9850001e-005,6.67595e-006,5
9.0810001e-005,6.37078e-006,5
0.000172730001,6.67595e-006,5
0.000336570001,6.52336e-006,5
0.002001,6.52336e-006,5
0.0020011,6.37093e-006,4.5
0.002001145,6.52287e-006,4.275
0.002001235,6.67589e-006,3.825
0.002001415,6.67606e-006,2.925
0.002001775,6.52343e-006,1.125
0.002001904999,6.52335e-006,0.475005
0.002002,6.371e-006,0
0.002002026,6.37077e-006,0
0.002002077999,6.52287e-006,0
0.002002181999,6.6759e-006,0
0.002002389997,6.67605e-006,0
0.002002805994,6.3709e-006,0
0.002003637987,6.52328e-006,0
0.002005301975,6.52329e-006,0
0.002008629949,6.52332e-006,0
0.002015285898,6.52336e-006,0
0.002028597795,6.37078e-006,0
0.002055221591,6.37077e-006,0
0.002108469181,6.52336e-006,0
0.002214964362,6.37077e-006,0
0.002427954723,6.52336e-006,0
0.002853935447,6.37077e-006,0
0.003705896893,6.52336e-006,0
0.005409819786,6.37077e-006,0
0.008817665572,6.52336e-006,0
0.01,6.37079e-006,0
0.0100001,6.37077e-006,0.5
0.010000145,6.52292e-006,0.725005
0.010000235,6.67589e-006,1.17502
0.01000041501,6.67606e-006,2.07504
0.01000077502,6.52343e-006,3.87508
0.01000097,6.52336e-006,4.85
0.010001,6.3715e-006,5
0.010001008,6.37078e-006,5
0.010001024,6.52178e-006,5
0.010001056,6.52398e-006,5
0.01000112,6.52337e-006,5
0.010001248,6.67575e-006,5
0.010002016,6.67595e-006,5
0.01000304,6.52339e-006,5
0.010005088,6.52335e-006,5
0.0100089,6.37078e-006,5
0.01000891,0.0100064,5
0.01000939988,0.499885,5
0.01001141588,0.499885,5
0.01007490388,0.499884,5
0.012001,0.499884,5
0.012001905,0.499884,0.475005
0.012002,0.499884,0
0.012002026,0.499884,0
0.012002078,0.499884,0
0.012002182,0.499884,0
0.01200239,0.499884,0
0.01200280599,0.499884,0
0.01200363799,0.499884,0
0.01200530197,0.499884,0
0.01200862995,0.499884,0
0.0120152859,0.499884,0
0.0120285978,0.499884,0
0.01205522159,0.499884,0
0.01210846918,0.499884,0
0.01221496436,0.499884,0
0.01242795472,0.499884,0
0.01285393545,0.499884,0
0.01370589689,0.499884,0
0.01540981979,0.499884,0
0.01881766557,0.499884,0
0.02,0.499884,0
0.020000145,0.499884,0.725005
0.020001,0.499884,5
0.020001056,0.499884,5
0.020017376,0.499884,5
0.020132064,0.499884,5
0.022001,0.499884,5
0.022002,0.499884,0
0.022002026,0.499884,0
0.022002078,0.499884,0
0.022002182,0.499884,0
0.02200239,0.499884,0
0.02200280599,0.499884,0
0.02200363799,0.499884,0
0.02200530197,0.499884,0
0.02200862995,0.499884,0
0.0220152859,0.499884,0
0.0220285978,0.499884,0
0.02205522159,0.499884,0
0.02210846918,0.499884,0
0.02221496436,0.499884,0
0.02242795472,0.499884,0
0.02285393545,0.499884,0
0.02370589689,0.499884,0
0.02540981979,0.499884,0
0.02881766557,0.499885,0
0.03,0.499885,0
